Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Project_LOOM.PrjPcb|ReportField=ProjectFullPath~C:\Users\azure\Desktop\ProjectLOOM\LOOM\Project_LOOM.PrjPcb|ReportField=Title~Bill of Materials For Project [Project_LOOM.PrjPcb] (No PCB Document Selected)|ReportField=ReportTime~12:45:06 AM|ReportField=ReportDate~2/15/2019|ReportField=ReportDateTime~2/15/2019 12:45:06 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~16|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2/15/2019|ReportField=CurrentTime~12:29:05 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\azure\Desktop\ProjectLOOM\ProjectLOOM\ProjectLOOM.SchDoc|ReportField=DocumentName~ProjectLOOM.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2/14/2019|ReportField=Organization~|ReportField=ProjectName~Project_LOOM.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Project_LOOM.PrjPcb|ReportField=DataSourceFullPath~C:\Users\azure\Desktop\ProjectLOOM\LOOM\Project_LOOM.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|Cap Semi|Capacitor (Semiconductor SIM Model)|C3|C1206|Cap Semi|1
2|100uF|Aluminum Organic Polymer Capacitors 25VDC 100uF 125degC VibeProof AEC-Q200|Cin|CAPAE660X800N|EEH-ZC1E101XV|1
3|330uF|Aluminum Organic Polymer Capacitors 25VDC 100uF 125degC VibeProof AEC-Q200|Cout|CAPAE660X800N|EEH-ZC1E101XV|1
4|1N5817|1 Amp General Purpose Rectifier|D1|DO-41|Diode 1N4001|1
5|PJ-102AH|2.0 mm Center Pin, 5.0 A, Right Angle, Through Hole, Tapered Pins, Dc Power Jack Connector|J1|CUI_PJ-102AH|PJ-102AH|1
6|330uH|COILCRAFT - MSS1278T-334KLD - INDUCTOR, 330UH, 1A, 10%,2.9MHZ, REEL|L1|INDPM120120X805N|MSS1278T-334KLD|1
7|Header 6|Header, 6-Pin|P1|HDR1X6|Header 6|1
8|Header 12|Header, 12-Pin|P2|HDR1X12|Header 12|1
9|Header 16|Header, 16-Pin|P2|HDR1X16|Header 16|1
10|Res3|Resistor|R1, R2, R3, R4, R5|J1-0603|Res3|5
11|LMC6032IN|CMOS Dual Operational Amplifier, 8-pin MDIP|U1|N08E|LMC6032IN|1
12|LM2575S-5.0_NOPB|SIMPLE SWITCHER 1A Step-Down Voltage Regulator|U2|TO170P1435X465-6N|LM2575S-5.0_NOPB|1
